text,true_emotion,predicted_emotion
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
#oow16 #sting decent new song,anger,joy
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,joy
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
Eat my ass' is no longer an insult,anger,anger
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,joy
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",anger,joy
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,fear
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
Sting is just too damn earnest for early morning listening. ,anger,sadness
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear,fear
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,anger
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another",fear,sadness
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
Nothing worse than an uber driver that can't drive. #awful,fear,sadness
Northampton are awful 🙈,fear,sadness
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear,sadness
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,fear,anger
"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",fear,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
Somebody who has braved the storm is brewing. #cheerful,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,sadness
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
